Horodateur,Where do you come from?,How did you get to Paris?,How do you plan to leave Paris? (ignoring strikes),green grant
04/12/2019 09:42:08,Dortmund (Germany),Train,Train,
04/12/2019 09:43:34,Oxford (UK),Train,Train,
04/12/2019 09:44:31,Göttingen (Germany),Train,Train,
04/12/2019 09:45:06,Oxford (UK),Train,Plane,
04/12/2019 09:45:37,Eindhoven (Netherlands),Intercity coach,Same as I came!,
04/12/2019 09:50:07,Düsseldorf (Germany),Train,Same as I came!,
04/12/2019 10:05:39,Paris (France),Metro or RER,Same as I came!,
04/12/2019 10:09:20,Brighton (UK),Train,Train,1
04/12/2019 10:25:29,Paris (France),Bike,Same as I came!,
04/12/2019 10:30:40,Lyon (France),Train,Intercity coach,
04/12/2019 10:33:03,Lyon (France),Train,Intercity coach,
04/12/2019 10:37:26,Lyon (France),Train,Train,
04/12/2019 10:40:42,Helsinki (Finland),Plane,Same as I came!,
04/12/2019 10:41:00,Strasbourg (France),Train,Intercity coach,
04/12/2019 10:41:04,Marseille (France),Train,Train,
04/12/2019 10:42:37,Caen (France),Train,Train,
04/12/2019 10:42:51,Trondheim (Norway),Plane,Plane,
04/12/2019 10:44:53,Singapore (Singapore),Plane,Same as I came!,
04/12/2019 10:45:13,Paris (France),City bus,City bus,
04/12/2019 10:46:56,Aix-en-Provence (France),Train,Car,
04/12/2019 10:48:56,Thessaloniki (Greece),Plane,Plane,
04/12/2019 10:49:41,Braga (Portugal),Plane,Plane,
04/12/2019 10:53:18,Birmingham (UK),Plane,Same as I came!,
04/12/2019 10:53:57,Oldenburg (Germany),Plane,Train,
04/12/2019 10:54:46,Geneva (Switzerland),Train,Train,
04/12/2019 10:57:20,Strasbourg (France),Train,Same as I came!,
04/12/2019 10:58:27,Leipzig (Germany),Plane,Same as I came!,
04/12/2019 11:00:16,Amsterdam (Netherlands),Train,Train,
04/12/2019 11:03:30,Madrid (Spain),Plane,Same as I came!,
04/12/2019 11:11:55,Lyon (France),Train,Train,
04/12/2019 11:12:23,Leipzig (Germany),Train,Train,1
04/12/2019 11:13:22,Lyon (France),Train,Car,
04/12/2019 11:14:52,Xanthi (Greece),Plane,Same as I came!,
04/12/2019 11:16:25,Montrouge (France),Metro or RER,Same as I came!,
04/12/2019 11:16:37,Madrid (Spain),Plane,Plane,
04/12/2019 11:24:17,Besançon (France),Train,Train,
04/12/2019 11:35:22,Milan (Italy),Plane,Same as I came!,
04/12/2019 11:37:16,Munich (Germany),Train,Train,
04/12/2019 12:22:45,Marseille (France),Train,Train,
04/12/2019 12:29:24,Salzburg (Austria),Plane,Same as I came!,
04/12/2019 13:35:11,Marseille (France),Train,Train,
04/12/2019 13:35:44,Frankfurt (Germany),Train,Train,
04/12/2019 13:36:16,Palermo (Italy),Plane,Same as I came!,
04/12/2019 13:37:16,Braga (Portugal),Plane,Same as I came!,
04/12/2019 13:37:20,Marseille (France),Plane,Plane,
04/12/2019 13:37:54,Paris (France),Metro or RER,Metro or RER,
04/12/2019 13:38:47,Paris (France),Metro or RER,Metro or RER,
04/12/2019 14:52:29,Bures-sur-Yvette (France),Metro or RER,Metro or RER,
04/12/2019 14:54:37,Lyon (France),Train,Same as I came!,
04/12/2019 16:30:13,Brighton (UK),Train,Train,1
04/12/2019 16:35:58,Lucknow (India),Plane,Same as I came!,
04/12/2019 17:18:48,Braga (Portugal),Plane,Same as I came!,
04/12/2019 17:34:05,Singapore (Singapore),Plane,Same as I came!,
04/12/2019 17:43:38,Lille (France),Train,Car,
04/12/2019 17:45:05,Paris (France),Feet,Feet,
04/12/2019 17:48:28,Glasgow (UK),Plane,Same as I came!,
04/12/2019 17:49:15,Lyon (France),Train,Intercity coach,
04/12/2019 17:49:53,Paris (France),Bike,Bike,
04/12/2019 17:50:50,Munich (Germany),Train,Plane,
